matchID,participantID,accountID,originalRegion
4452143678,1,i1u5O3Gg8kK0PyjiAakO0yBsTp43JrB5a6hgfqVeMH0p_bU,EUW1
4452143678,2,e70UEGcVXoegsu4MI7IzWOm0Xcr8Q9R0pcZfl7_KnYPZdc_TcMuwItcP,EUW1
4452143678,3,Ms-qTMrozYGDPLP_-xQhecJQ1H0TGVUv0pBegye4cnJtRQ,EUN1
4452143678,4,KJX0eL16PvHUnvJp43a8amwvEDHeIvSNqWxfGXL15NNqXQ,EUW1
4452143678,5,qYi8GU-uRsTPhXjP7fK-7zzaYaeHqm18R9ScTrpxdOw6Xko,EUW1
4452143678,6,p-BgyhBAGYeES_903hQmcrc5SJeoSPbFpPE0Qu6K1RcOAQ,EUW1
4452143678,7,bhq4W-rkQoi21qn7tbPzeLowXCjoSXJockL8xVA-1rQKTSKN6voPIm0q,EUW1
4452143678,8,3X1SX0NQTTz-FMABK6jHIdIbnQAvwDZFougrIuYGP_J5a5U,EUW1
4452143678,9,SV6veYtzBplqmOgrLeWJKuWcwEqsVfWh4y63lTjOwyYDuQ,EUN1
4452143678,10,ci9gVfDvWWnEMJgRcxi0NechgVPg5DD5An2yeP3glnPHVe8,TR1
4452150484,1,mPCWRKzil7VMYAFkFXRc4iYFuO05U_Mqu4ht1HYk0cEMiv0,EUN1
4452150484,2,o6U9gXw7TV_DB77sLE_sSIRf5owPiiSP2JMBYmllMTYTWw,EUW1
4452150484,3,Uh1wNixVbjoIm6v5AXuCo6GJysi1ZujiWt3QzPLOpx4Az50,EUW1
4452150484,4,z-vNgMri5ZeFZfp_vobPJepqu9gcqcqMqsIlvu2bhXR9kw,EUW1
4452150484,5,e70UEGcVXoegsu4MI7IzWOm0Xcr8Q9R0pcZfl7_KnYPZdc_TcMuwItcP,EUW1
4452150484,6,3X1SX0NQTTz-FMABK6jHIdIbnQAvwDZFougrIuYGP_J5a5U,EUW1
4452150484,7,mdQYpsGPCblC5lgatNmBdBBJCaqY1dKcA14gqHQKmpSlfJA,EUW1
4452150484,8,T3XPgY7jMw7cowGl6fL9j_86A5o9tCv14D6ka30e0fsNRnXA2HXQ5F_X,TR1
4452150484,9,SV6veYtzBplqmOgrLeWJKuWcwEqsVfWh4y63lTjOwyYDuQ,EUN1
4452150484,10,ci9gVfDvWWnEMJgRcxi0NechgVPg5DD5An2yeP3glnPHVe8,TR1
